MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsError(write);RelError(write);ReadTime;AverageReadTime;ReadBandwidth;AbsError(read);RelError(read);
RAM;1024;uint8_t;1;5;clock();2.000000e-06;1.700000e-06;6.023529e+14;4.582576e-07;1.235294e-05%;2.000000e-06;1.700000e-06;6.023529e+14;4.582576e-07;1.235294e-05%;
RAM;1024;uint8_t;1;6;clock();2.000000e-06;1.700000e-06;6.023529e+14;4.582576e-07;1.235294e-05%;2.000000e-06;1.700000e-06;6.023529e+14;4.582576e-07;1.235294e-05%;
RAM;1024;uint8_t;1;7;clock();1.000000e-06;1.700000e-06;6.023529e+14;4.582576e-07;1.235294e-05%;1.000000e-06;1.700000e-06;6.023529e+14;4.582576e-07;1.235294e-05%;
RAM;1024;uint8_t;1;8;clock();2.000000e-06;1.700000e-06;6.023529e+14;4.582576e-07;1.235294e-05%;2.000000e-06;1.700000e-06;6.023529e+14;4.582576e-07;1.235294e-05%;
RAM;1024;uint8_t;1;9;clock();2.000000e-06;1.700000e-06;6.023529e+14;4.582576e-07;1.235294e-05%;2.000000e-06;1.700000e-06;6.023529e+14;4.582576e-07;1.235294e-05%;
RAM;1024;uint8_t;1;10;clock();1.000000e-06;1.700000e-06;6.023529e+14;4.582576e-07;1.235294e-05%;1.000000e-06;1.700000e-06;6.023529e+14;4.582576e-07;1.235294e-05%;
SSD;1024;uint8_t;1;1;clock();1.100000e-04;1.103000e-04;9.283772e+12;4.313931e-06;1.687217e-05%;1.410000e-04;1.006000e-04;1.017893e+13;1.504792e-05;2.250895e-04%;
SSD;1024;uint8_t;1;2;clock();1.090000e-04;1.103000e-04;9.283772e+12;4.313931e-06;1.687217e-05%;9.500000e-05;1.006000e-04;1.017893e+13;1.504792e-05;2.250895e-04%;
SSD;1024;uint8_t;1;3;clock();1.080000e-04;1.103000e-04;9.283772e+12;4.313931e-06;1.687217e-05%;9.400000e-05;1.006000e-04;1.017893e+13;1.504792e-05;2.250895e-04%;
SSD;1024;uint8_t;1;4;clock();1.080000e-04;1.103000e-04;9.283772e+12;4.313931e-06;1.687217e-05%;9.400000e-05;1.006000e-04;1.017893e+13;1.504792e-05;2.250895e-04%;
SSD;1024;uint8_t;1;5;clock();1.210000e-04;1.103000e-04;9.283772e+12;4.313931e-06;1.687217e-05%;9.300000e-05;1.006000e-04;1.017893e+13;1.504792e-05;2.250895e-04%;
SSD;1024;uint8_t;1;6;clock();1.080000e-04;1.103000e-04;9.283772e+12;4.313931e-06;1.687217e-05%;9.200000e-05;1.006000e-04;1.017893e+13;1.504792e-05;2.250895e-04%;
SSD;1024;uint8_t;1;7;clock();1.070000e-04;1.103000e-04;9.283772e+12;4.313931e-06;1.687217e-05%;9.300000e-05;1.006000e-04;1.017893e+13;1.504792e-05;2.250895e-04%;
SSD;1024;uint8_t;1;8;clock();1.080000e-04;1.103000e-04;9.283772e+12;4.313931e-06;1.687217e-05%;1.160000e-04;1.006000e-04;1.017893e+13;1.504792e-05;2.250895e-04%;
SSD;1024;uint8_t;1;9;clock();1.160000e-04;1.103000e-04;9.283772e+12;4.313931e-06;1.687217e-05%;9.400000e-05;1.006000e-04;1.017893e+13;1.504792e-05;2.250895e-04%;
SSD;1024;uint8_t;1;10;clock();1.080000e-04;1.103000e-04;9.283772e+12;4.313931e-06;1.687217e-05%;9.400000e-05;1.006000e-04;1.017893e+13;1.504792e-05;2.250895e-04%;
